DeviceID,DeviceTerm,DeviceCatID,DeviceCatTerm,DefaultInstrumentTerm,DeviceDescription,AttrNameUsed,ActionsUsed,State
"R2RE/1003","Generic ADCP75","L05/115","current profilers","ADCP75","Generic ADCP-75 description goes here","ADCP75","start;stop;service;other","0"
"R2RE/1005","Generic ADCP300","L05/115","current profilers","ADCP300","A Doppler velocity log (DVL) measuring bottom track and water track velocities, altitude, heading, tilt, temperature, echo intensity, pressure and current velocities. 300kHz Broadband signal processing gives high data resolution and a four-beam solution gives an independent error velocity measurement as an indicator of data quality. It has a bottom track range of 200m and velocity accuracy for both bottom and water track modes is 0.4% of the velocity, ±0.2cm/s. The instrument operates effectively over a temperature range of -5°C to 45°C and with a tilt of up to ±15 deg.","ADCP300","star;stop;service;other","0"
"L221/TOOL0058","Sea-Bird SBE 911plus CTD","L05/130","CTD profilers","CTD911","High precision and accuracy CTD comprising an SBE 9plus underwater unit (SBE 3 temperature and SBE 4 conductivity sensors) and an SBE 11plus deck unit. Sensors may be connected to a pump-fed plastic tubing circuit (usually temperature, salinity and oxygen) or stand-alone. All instruments (8 channels available) on the package are logged by the SBE 11. The unit is the production off the shelf version of the SBE 911 (each 911 was custom built to individual specification).","CTD911","deploy;maxDepth;recover;abort;other","0"
"L221/TOOL0130","Simrad EA500 echosounder","L05/156","single-beam echosounders","Echosounder12","A single-beam, single-frequency (12kHz) deep water echosounder, with a maximum power of 2kW, 160dB dynamic range and Transducer 12-16-60 (16 degree circular, 60 degree passive beams). It was introduced in June 1989 and and replaced by the EA 600 in 2000.","Echosounder12","startLine;endLine;abortLine","0"
"L221/TOOLZZZ","unknown","L05/156","single-beam echosounders","Echosounder3.5","The correct value is not known to, and not computable by, the creator of this information. However, a correct value probably exists.","Echosounder3.5","startLine;endLine;abortLine","0"
"R2RE/1024","Instrument Details Specified Elsewhere","L05/999","unknown","Other","This is a placeholder for eventlogger and other systems that allow users to specify their own instrumentation. Such entries are tagged using this vocabulary term so that the actual instrument make and model can be researched.","Other","start;end","0"
"R2RE/1027","UNOLS Research Vessel ","R2RE/1006","research vessel","Ship","Academic Research Vessel description goes here","Ship","startCruise;endCruise;other","0"
"L221/TOOL0190","Sea-Bird SBE45 MicroTSG thermosalinograph","L05/133","thermosalinographs","Thermosalinograph","A small externally powered, high-accuracy instrument, designed for shipboard determination of sea surface (pumped-water) conductivity and temperature. It is constructed of plastic and titanium to ensure long life with minimum maintenance. It may optionally be interfaced to an external SBE 38 hull temperature sensor.","Thermosalinograph SBE45","start;stop;other;","0"
"R2RE/1031","Generic XBT","L05/132","bathythermographs","XBT","Generic XBT description goes here","XBT","release","0"
"R2RE/1015","Generic Meterological Sensor","L05/102","meteorological packages","MeterologicalSensor","Generic Meterological Sensor description goes here","MeteorologicalSensor","startLine;endLine;abortLine;sampleLine","0"
"R2RE/1016","Sea Beam multibeam echosounder","L05/157","multi-beam echosounders","Multibeam","Need Sea Beam description here","Seabeam","start;stop;other;","0"
"R2RE/9018","fluorometer r2r_devtype","L05/113","fluorometers","Fluorometer","measures fluorescence (usually for phytoplankton)","Fluorometer","startLine;endLine;abortLine;sampleLine","0"
"R2RE/1024","Instrument Details Specified Elsewhere","L05/999","unknown","Other","This is a placeholder for eventlogger and other systems that allow users to specify their own instrumentation. Such entries are tagged using this vocabulary term so that the actual instrument make and model can be researched.","scienceConferences","start;end;file;other","MODIFIED"
"R2RE/1024","Instrument Details Specified Elsewhere","L05/999","unknown","Other","This is a placeholder for eventlogger and other systems that allow users to specify their own instrumentation. Such entries are tagged using this vocabulary term so that the actual instrument make and model can be researched.","calibrationIOP","start;end;file;other","MODIFIED"
"R2RE/1024","Instrument Details Specified Elsewhere","L05/999","unknown","Other","This is a placeholder for eventlogger and other systems that allow users to specify their own instrumentation. Such entries are tagged using this vocabulary term so that the actual instrument make and model can be researched.","profile_IOP","launch;bottom;recover;abort;file;other","MODIFIED"
"R2RE/1024","Instrument Details Specified Elsewhere","L05/999","unknown","Other","This is a placeholder for eventlogger and other systems that allow users to specify their own instrumentation. Such entries are tagged using this vocabulary term so that the actual instrument make and model can be researched.","profileAOP","launch;bottom;recover;abort;file;other","MODIFIED"
"R2RE/9018","fluorometer r2r_devtype","L05/113","fluorometers","Fluorometer","measures fluorescence (usually for phytoplankton)","calibrationFlourometer","startLine;endLine;file;other","MODIFIED"
