DeviceID,DeviceTerm,DeviceCatID,DeviceCatTerm,DefaultInstrumentTerm,DeviceDescription,AttrNameUsed,ActionsUsed,State
"L221/TOOL0058","Sea-Bird SBE 911plus CTD","L05/130","CTD profilers","CTD911","High precision and accuracy CTD comprising an SBE 9plus underwater unit (SBE 3 temperature and SBE 4 conductivity sensors) and an SBE 11plus deck unit. Sensors may be connected to a pump-fed plastic tubing circuit (usually temperature, salinity and oxygen) or stand-alone. All instruments (8 channels available) on the package are logged by the SBE 11. The unit is the production off the shelf version of the SBE 911 (each 911 was custom built to individual specification).","CTD911","deploy;maxDepth;recover;abort;other","0"
"R2RE/1057","Ben Van Mooy prototype net trap","R2RE/1010","user specified","UserSpecified","Instrument that does not have a controlled vocabulary term","Net_trap","deploy;recover;abort;other","MODIFIED"
"R2RE/1057","Ken Buesseler prototype possibly attached to some Net Trap deployments","R2RE/1010","user specified","UserSpecified","Instrument that does not have a controlled vocabulary term","PIT_trap","deploy;recover;abort;other","MODIFIED"
"R2RE/1057","combined deployment of Van Mooy Net_trap and Buesseler PIT_trap","R2RE/1010","user specified","UserSpecified","Instrument that does not have a controlled vocabulary term","NetPIT_trap","deploy;recover;abort;other","MODIFIED"
"R2RE/1057","hand held stern-deployed plankton net","R2RE/1010","user specified","UserSpecified","Instrument that does not have a controlled vocabulary term","planktonNetTow","deploy;recover;abort;other","MODIFIED"
"R2RE/1057","pumps used at depth to sample large volumes of seawater","R2RE/1010","user specified","UserSpecified","Instrument that does not have a controlled vocabulary term","McLanePump","deploy;recover;abort;other","MODIFIED"
"R2RE/1057","Rachel Stanley Underway O2/Argon prototype sampling system","R2RE/1010","user specified","UserSpecified","Instrument that does not have a controlled vocabulary term","EIMS_O2/Ar","start;end;abort;calibrate;service;other","MODIFIED"
"R2RE/1057","SeaFlow measures phytoplankton in surface seawater from underway pump; by flow cytometry","R2RE/1010","user specified","UserSpecified","Instrument that does not have a controlled vocabulary term","SeaFlowCyto","start;sample;end;abort;other","MODIFIED"
"R2RE/1057","large-volume, prototype air pump sampling system, deployed for ~12hrs when underway","R2RE/1010","user specified","UserSpecified","Instrument that does not have a controlled vocabulary term","Air_HOCs","start;end;abort;other","MODIFIED"
"R2RE/1057","filtration of underway seawater for ~12 hrs at a time","R2RE/1010","user specified","UserSpecified","Instrument that does not have a controlled vocabulary term","Water_HOCs","start;end;abort;other","MODIFIED"
"R2RE/1057","underway extraction sampling system of POPs in seawater","R2RE/1010","user specified","UserSpecified","Instrument that does not have a controlled vocabulary term","Water_TOX","start;end;abort;other","MODIFIED"
"R2RE/1057","incubations conducted by the Kujawinski group","R2RE/1010","user specified","UserSpecified","Instrument that does not have a controlled vocabulary term","incubation_Kuj","start;sample;abort;other","MODIFIED"
"R2RE/1057","incubations conducted by the Van Mooy group","R2RE/1010","user specified","UserSpecified","Instrument that does not have a controlled vocabulary term","incubation_VM","start;sample;abort;other","MODIFIED"
"R2RE/1057","incubations conducted by the Dyhrman group","R2RE/1010","user specified","UserSpecified","Instrument that does not have a controlled vocabulary term","incubation_Dyhr","start;sample;abort;other","MODIFIED"
"R2RE/1057","incubations conducted by the Arnosti group","R2RE/1010","user specified","UserSpecified","Instrument that does not have a controlled vocabulary term","incubation_Arn","start;sample;abort;other","MODIFIED"
