DeviceID,DeviceTerm,DeviceCatID,DeviceCatTerm,DefaultInstrumentTerm,DeviceDescription,AttrNameUsed,ActionsUsed,State
"R2RE/1057","including: ROV, ENG, outreach and summary ","R2RE/1010","user specified","UserSpecified","Instrument that does not have a controlled vocabulary term","Reporting","dailyROV;dailyOps;outreach;sampleSummary;other","MODIFIED"
"R2RE/1027","Academic Research Vessel","R2RE/1006","research vessel","Ship","Academic Research Vessel description goes here","Ship","startCruise;endCruise;other","0"
"R2RE/1057","satellite communications to shore","R2RE/1010","user specified","UserSpecified","Instrument that does not have a controlled vocabulary term","Satellite","startTX;stopTX;powerAdjust;other;readings","MODIFIED"
"R2RE/1057","ROV ROPOS ","R2RE/1010","user specified","UserSpecified","Instrument that does not have a controlled vocabulary term","ROV ROPOS ","divePlan;vehicleConfig;basketConfig;launch;recover;diveTrack;other","MODIFIED"
"R2RE/1057","ROPOS remotely operated cable laying system","R2RE/1010","user specified","UserSpecified","Instrument that does not have a controlled vocabulary term","ROCLS","deploy;recover;other","MODIFIED"
"R2RE/1057","MPJBox, LPJBox or LVNode","R2RE/1010","user specified","UserSpecified","Instrument that does not have a controlled vocabulary term","RSN secondaryNode","deploy;recover;surveyedPosition;other","MODIFIED"
"R2RE/1057","Guralp custom short period seismometer","R2RE/1010","user specified","UserSpecified","Instrument that does not have a controlled vocabulary term","RSN OBSSP","deploy;recover;surveyedPosition;other","MODIFIED"
"R2RE/1057","Gurlap CMG-1T w/ CMG-5T accelerometer and hydrophone","R2RE/1010","user specified","UserSpecified","Instrument that does not have a controlled vocabulary term","RSN OBSBB-HYDLF","deploy;recover;surveyedPosition;other","MODIFIED"
"R2RE/1057","UW-Lilley Temperature Resistivity Sensor","R2RE/1010","user specified","UserSpecified","Instrument that does not have a controlled vocabulary term","RSN TRHPH","deploy;recover;surveyedPosition;other","MODIFIED"
"R2RE/1057","Harvard-Girguis Mass Spectrometer","R2RE/1010","user specified","UserSpecified","Instrument that does not have a controlled vocabulary term","RSN MASSP","deploy;recover;surveyedPosition;other","MODIFIED"
