"DefaultInstrumentTerm","DeviceID","DeviceTerm"
"CTD911","L22/TOOL0058","Sea-Bird SBE 911plus CTD"
"Thermosalinograph SBE45","L22/TOOL0190","Sea-Bird SBE45 MicroTSG thermosalinograph"
"ADCP75","R2RE/1003","Generic ADCP75"
"Multibeam","R2RE/1008","Kongsberg (Simrad) EM 122 multibeam echosounder"
"MeteorologicalSensor","R2RE/1015","Generic Meteorological Sensor"
"Other","R2RE/1024","Instrument Details Specified Elsewhere"
"Ship","R2RE/1027","Academic Research Vessel"
"XBT","R2RE/1031","Generic XBT"
"Fluorometer","R2RE/9018","fluorometer r2r_devtype"
"Echosounder12","R2RE/9038","generic 12kHz echosounder"
"Echosounder3.5","R2RE/9039","generic 3.5kHz echosounder"
