CruiseID,DeviceID,DeviceTerm,DeviceCatID,DeviceCatTerm,DefaultInstrumentTerm,DeviceDescription,AttrNameUsed,ActionsUsed,State
AE1211,"R2RE/1027","Academic Research Vessel","R2RE/1006","research vessel","Ship","Academic Research Vessel description goes here","Ship","startCruise;endCruise;other","0"
AE1211,"L221/TOOL0058","Sea-Bird SBE 911plus CTD","L05/130","CTD profilers","CTD911","High precision and accuracy CTD comprising an SBE 9plus underwater unit (SBE 3 temperature and SBE 4 conductivity sensors) and an SBE 11plus deck unit. Sensors may be connected to a pump-fed plastic tubing circuit (usually temperature, salinity and oxygen) or stand-alone. All instruments (8 channels available) on the package are logged by the SBE 11. The unit is the production off the shelf version of the SBE 911 (each 911 was custom built to individual specification).","CTD911","deploy;maxDepth;recover;abort;other","0"
AE1211,"R2RE/1057","Sediment Trap Mooring","R2RE/1010","user specified","UserSpecified","Instrument that does not have a controlled vocabulary term","sedTrapMooring","deployStart;deployEnd;recoveryStart;recoveryEnd;other","MODIFIED"
AE1211,"R2RE/1057","ISP sediment trap","R2RE/1010","user specified","UserSpecified","Instrument that does not have a controlled vocabulary term","ISP","start;end;abort;other","MODIFIED"
AE1211,"R2RE/1057","towed plankton net with a CTD","R2RE/1010","user specified","UserSpecified","Instrument that does not have a controlled vocabulary term","planktonTowCTD","start;end;abort;other","MODIFIED"
AE1211,"R2RE/1057","Sediment Corer (unknown type)","R2RE/1010","user specified","UserSpecified","Instrument that does not have a controlled vocabulary term","sedimentCorer","start;end;abort;other","MODIFIED"
AE1211,"R2RE/1024","Instrument Details Specified Elsewhere","L05/999","unknown","Other","This is a placeholder for eventlogger and other systems that allow users to specify their own instrumentation. Such entries are tagged using this vocabulary term so that the actual instrument make and model can be researched.","Other","start;end","0"
EN502,"L221/TOOL0058","Sea-Bird SBE 911plus CTD","L05/130","CTD profilers","CTD911","High precision and accuracy CTD comprising an SBE 9plus underwater unit (SBE 3 temperature and SBE 4 conductivity sensors) and an SBE 11plus deck unit. Sensors may be connected to a pump-fed plastic tubing circuit (usually temperature, salinity and oxygen) or stand-alone. All instruments (8 channels available) on the package are logged by the SBE 11. The unit is the production off the shelf version of the SBE 911 (each 911 was custom built to individual specification).","CTD911","deploy;maxDepth;recover;abort;other","0"
EN502,"R2RE/1024","in situ pump","L05/999","unknown","Other","This is a placeholder for eventlogger and other systems that allow users to specify their own instrumentation. Such entries are tagged using this vocabulary term so that the actual instrument make and model can be researched.","ISP","start;end;other","MODIFIED"
EN502,"R2RE/1024","Net Trap","L05/999","unknown","Other","This is a placeholder for eventlogger and other systems that allow users to specify their own instrumentation. Such entries are tagged using this vocabulary term so that the actual instrument make and model can be researched.","netTrap","deployStart;deployEnd;recoveryStart;recoveryEnd;other","MODIFIED"
EN502,"R2RE/1024", "Plankton Tow CTD", "L05/999", "unknown", "Other", "This is a placeholder for eventlogger and other systems that allow users to specify their own instrumentation. Such entries are tagged using this vocabulary term so that the actual instrument make and model can be researched.", "planktonTowCTD", "start;end;other", "MODIFIED"
EN502,"R2RE/1024","Sediment Trap Mooring","L05/999","unknown","Other","This is a placeholder for eventlogger and other systems that allow users to specify their own instrumentation. Such entries are tagged using this vocabulary term so that the actual instrument make and model can be researched.","sedTrapMooring","deployStart;deployEnd;recoveryStart;recoveryEnd;other","MODIFIED"
EN502,"R2RE/1024","video camera for class ","L05/999","unknown","Other","This is a placeholder for eventlogger and other systems that allow users to specify their own instrumentation. Such entries are tagged using this vocabulary term so that the actual instrument make and model can be researched.","videoCamera","start;end;other","MODIFIED"
EN502,"R2RE/1027","UNOLS Research Vessel ","R2RE/1006","research vessel","Ship","Academic Research Vessel description goes here","Ship","startCruise;endCruise;startTransect;endTransect;other","MODIFIED"
EN502,"L221/TOOLZZZ","unknown","L05/156","single-beam echosounders","Echosounder3.5","The correct value is not known to, and not computable by, the creator of this information. However, a correct value probably exists.","Echosounder3.5","startLine;endLine;abortLine","0"
