"entrykey";"entryterm";"entrytermabbr";"entrytermdef";"entrytermlastmod"
"L05/101";"anemometers";"";"Instrument that measures wind speed and direction at a single elevation.";"2013-02-26"
"L05/102";"meteorological packages";"";"Instrument that makes routine meteorological measurements on the atmosphere, typically air pressure, temperature and humidity.";"2013-02-26"
"L05/103";"radiosondes";"";"A balloon-borne package equipped with a radio transmitter and meteorological sensors typically measuring temperature, pressure, and humidity.";"2007-11-20"
"L05/11";"discrete air samplers";"";"A device that collects a sample of air from the atmosphere and stores it, usually under pressure, for subsequent analysis.";"2013-02-26"
"L05/110";"wave recorders";"";"Instrument that measures water column surface wave parameters including height, period, direction and energy spectra.";"2007-11-20"
"L05/111";"sea level recorders";"";"Instrument that make smoothed measuremeants of the elevation of the sea surface relative to a fixed vertical datum.";"2013-02-26"
"L05/112";"inverted echosounders";"";"Instruments that locate acoustic reflectors such as fronts in the water column by transmitting pulses of sound from the seabed and determing reflection return times.";"2013-02-26"
"L05/113";"fluorometers";"";"Instrument that measures the amount of stimulated electromagnetic radiation produced by pulses of electromagnetic radiation emitted into the water column.";"2013-02-26"
"L05/114";"current meters";"";"Instrument that measures current speed and direction at a single depth.";"2013-02-26"
"L05/115";"current profilers";"";"Instrument that measures current speed and direction at multiple predetermined depths simultaneously.";"2013-02-26"
"L05/116";"lowered current profilers";"";"An acoustic doppler current meter lowered and raised vertically from a surface platform, typically a ship.";"2007-11-20"
"L05/12";"fog samplers";"";"A device that condenses a sample of fog from the atmosphere.";"2013-02-26"
"L05/121";"satellite tracking system";"";"A network of statellites that determines the position of a transponder by triangulation such as Argos.  Generally used to track surface buoys for the determination of Lagrangian currents.";"2007-11-20"
"L05/122";"radiometers";"";"Instrument that measures the intensity of electromagnetic radiation in either the atmosphere or the water column.";"2013-02-26"
"L05/123";"optical backscatter sensors";"";"Instrument that measures the amount of electromagnetic radiation emitted into the water column returned to the instrument.";"2007-11-20"
"L05/124";"transmissometers";"";"Systems that measure the attenuation of electromagnetic radiation by the water column. Includes human observer plus Secchi Disk.";"2007-11-20"
"L05/13";"aerosol samplers";"";"A device that collects a sample of aerosol (dry particles or liquid droplets) from the atmosphere.";"2013-02-26"
"L05/130";"CTD";"";"A package lowered and raised vertically from a surface platform, usually a ship, always carrying pressure, temperature and conductivity sensors. Addional optional sensors include fluorometers, transmissometers and radiometers.  The package may also carry water bottles.";"2010-11-18"
"L05/131";"CTD undulators";"";"A package towed at varying depths by a ship, always carrying pressure, temperature and conductivity sensors. Addional optional sensors include fluorometers, transmissometers and radiometers.";"2007-11-20"
"L05/132";"bathythermographs";"";"Instruments that measure vertical profiles of sea temperature by either lowering a pressure plus temperature senor package (MBT) or dropping a free falling disposable sensor (XBT).";"2007-11-20"
"L05/133";"thermosalinographs";"";"Temperature and conductivity sensors mounted on a sea-surface platform continuously measuring a surface water supply.";"2007-11-20"
"L05/134";"water temperature sensor";"";"An instrument that measures the temperature of the water with which it is in contact.";"2013-02-26"
"L05/135";"thermistor chains";"";"A group of rigidly-mounted temperature sensors sampled by a common data logger held at various depths in the water column.";"2007-11-20"
"L05/14";"precipitation samplers";"";"A device that collects a sample of precipitation (rain, hail or snow) as it falls.";"2013-02-26"
"L05/150";"particle sizers";"";"An instrument that measures the size spectrum of particles suspended in the water column.";"2013-02-26"
"L05/151";"benthic incubation chambers";"";"A device that isolates a portion of seabed plus overlying water from its surroundings. Either returns the entire system to the surface or incorporates sampling devices and/or in-situ sensors.";"2008-01-10"
"L05/152";"sidescan sonars";"";"Instruments with directional acoustic transmitters and receivers fitted to an underwater platform that emit fan-shaped pulses down toward the seafloor across a wide angle perpendicular to the path of the platform through the water.";"2007-11-20"
"L05/153";"single-channel seismic reflection systems";"";"An energy source of unspecified frequency plus a single string of towed hydrophones (streamer) that determine geologic structure by detecting waves reflected by subsurface layers.";"2010-02-19"
"L05/154";"multi-channel seismic reflection systems";"";"An energy source of unspecified frequency plus a multiple strings of towed hydrophones (streamers) that determine geologic structure by detecting waves reflected by subsurface layers.";"2010-02-19"
