VesselID,PreferredName,VocabID,VocabName,Edist,Modified
ae,CTD911,L22/TOOL0058,Sea-Bird SBE 911plus CTD,Yes,1/24/14
ae,ADCP75,L22/TOOL0362,Teledyne RDI Ocean Surveyor 75kHz vessel-mounted ADCP,Yes,1/24/14
ae,Fluorometer,L22/TOOL0393,Turner 10-AU chlorophyll field fluorometer,Yes,1/24/14
ae,MeteorologicalSensor,R2RE/1015,Generic Meteorological Sensor,Yes,1/24/14
ae,Other,R2RE/1024,Instrument Details Specified Elsewhere,Yes,1/24/14
ae,Ship,R2RE/1027,Academic Research Vessel,Yes,1/24/14
ae,Thermosalinograph SBE21,R2RE/1056,Sea-Bird SBE21 SeaCat thermosalinograph,Yes,1/24/14
ae,Echosounder3.5,R2RE/9039,generic 3.5kHz echosounder,Yes,1/24/14
ae,Echosounder12,R2RE/9042,Kongsberg (Simrad) ES60 single beam echosounder,Yes,1/24/14
at,CTD911,L22/TOOL0058,Sea-Bird SBE 911plus CTD,Yes,1/24/14
at,Thermosalinograph SBE45,L22/TOOL0190,Sea-Bird SBE45 MicroTSG thermosalinograph,Yes,1/24/14
at,ADCP75,R2RE/1003,Generic ADCP75,Yes,1/24/14
at,Multibeam,R2RE/1008,Kongsberg (Simrad) EM 122 multibeam echosounder,Yes,1/24/14
at,MeteorologicalSensor,R2RE/1015,Generic Meteorological Sensor,Yes,1/24/14
at,Other,R2RE/1024,Instrument Details Specified Elsewhere,Yes,1/24/14
at,Ship,R2RE/1027,Academic Research Vessel,Yes,1/24/14
at,XBT,R2RE/1031,Generic XBT,Yes,1/24/14
at,Fluorometer,R2RE/9018,fluorometer r2r_devtype,Yes,1/24/14
at,Echosounder12,R2RE/9038,generic 12kHz echosounder,Yes,1/24/14
at,Echosounder3.5,R2RE/9039,generic 3.5kHz echosounder,Yes,1/24/14
bh,CTD911,L22/TOOL0058,Sea-Bird SBE 911plus CTD,Yes,1/24/14
