"DefaultInstrumentTerm","DeviceID","DeviceTerm"
"CTD911","L22/TOOL0058","Sea-Bird SBE 911plus CTD"
"Thermosalinograph SBE45","L22/TOOL0190","Sea-Bird SBE45 MicroTSG thermosalinograph"
"ADCP75","R2RE/1003","ADCP75"
"Multibeam","R2RE/1008","Kongsberg (Simrad) EM 122 multibeam echosounder - DEPRICATED"
"MeteorologicalSensor","R2RE/1015","Meteorological Sensor"
"Other","R2RE/1024","Instrument Details Specified Elsewhere - DEPRICATED"
"Ship","R2RE/1027","Academic Research Vessel"
"XBT","R2RE/1031","XBT"
"Fluorometer","R2RE/9018","fluorometer"
"Echosounder12","R2RE/9038","12kHz echosounder"
"Echosounder3.5","R2RE/9039","3.5kHz echosounder"
