"DefaultInstrumentTerm","DeviceID","DeviceTerm"
"CTD911","L22/TOOL0058","Sea-Bird SBE 911plus CTD"
"ADCP150","R2RE/1004","ADCP150"
"MeteorologicalSensor","R2RE/1015","Meteorological Sensor"
"Other","R2RE/1024","Instrument Details Specified Elsewhere - DEPRICATED"
"Ship","R2RE/1027","Academic Research Vessel"
"XBT","R2RE/1031","XBT"
"Thermosalinograph SBE21","R2RE/1056","Sea-Bird SBE21 SeaCat thermosalinograph"
"Fluorometer","R2RE/9018","fluorometer"
"Echosounder12","R2RE/9038","12kHz echosounder"
"Echosounder3.5","R2RE/9039","3.5kHz echosounder"
