"DefaultInstrumentTerm","DeviceID","DeviceTerm"
"CTD911","L22/TOOL0058","Sea-Bird SBE 911plus CTD"
"Thermosalinograph SBE45","L22/TOOL0190","Sea-Bird SBE45 MicroTSG thermosalinograph"
"ADCP75","R2RE/1003","ADCP75"
"ADCP300","R2RE/1005","ADCP300"
"MeteorologicalSensor","R2RE/1015","Meteorological Sensor"
"Multibeam","R2RE/1016","Sea Beam multibeam echosounder"
"Other","R2RE/1024","Instrument Details Specified Elsewhere - DEPRICATED"
"Ship","R2RE/1027","Academic Research Vessel"
"XBT","R2RE/1031","XBT"
"Fluorometer","R2RE/9018","fluorometer"
"Echosounder12","R2RE/9038","12kHz echosounder"
"Echosounder3.5","R2RE/9039","3.5kHz echosounder"
