"DefaultInstrumentTerm","DeviceID","DeviceTerm"
"CTD911","L22/TOOL0058","Sea-Bird SBE 911plus CTD"
"Thermosalinograph SBE45","L22/TOOL0190","Sea-Bird SBE45 MicroTSG thermosalinograph"
"ADCP75","L22/TOOL0362","Teledyne RDI Ocean Surveyor 75kHz vessel-mounted ADCP"
"SeaSPY magnetometer","L22/TOOL0474","Marine Magnetics SeaSPY Marine Magnetometer"
"ADCP150","R2RE/1004","ADCP150"
"Multibeam","L22/TOOL0492","Kongsberg EM 122 multibeam echosounder"
"MeteorologicalSensor","R2RE/1015","Meteorological Sensor"
"Other","R2RE/1024","Other"
"Ship","R2RE/1027","Academic Research Vessel"
"Fluorometer","L22/TOOL0145","Unknown chlorophyll fluorometer"
"Echosounder12","R2RE/9038","12kHz echosounder"
"Echosounder3.5","R2RE/9039","3.5kHz echosounder"
"XBT","R2RE/9040","Lockheed Martin Sippican XBT Fast Deep probe"
"Gravimeter","R2RE/9041","Bell Aerospace BGM-3 gravity meter"
