"DefaultInstrumentTerm","DeviceID","DeviceTerm"
"ADCP150","R2RE/1004","ADCP150"
"CTD911","L22/TOOL0058","Sea-Bird SBE 911plus CTD"
"Echosounder12","L22/TOOL0130","Simrad EA500 echosounder"
"Echosounder3.5","L22/TOOLZZZ","unknown"
"Other","R2RE/1024","Instrument Details Specified Elsewhere - DEPRICATED"
"Ship","R2RE/1027","Academic Research Vessel"
"Thermosalinograph SBE45","L22/TOOL0190","Sea-Bird SBE45 MicroTSG thermosalinograph"
"XBT","R2RE/1031","XBT"
"MeteorologicalSensor","R2RE/1015","Meteorological Sensor"
"Fluorometer","R2RE/9018","fluorometer"
