"DefaultInstrumentTerm","DeviceID","DeviceTerm"
"CTD911","L22/TOOL0058","Sea-Bird SBE 911plus CTD"
"Thermosalinograph SBE45","L22/TOOL0190","Sea-Bird SBE45 MicroTSG thermosalinograph"
"ADCP75","R2RE/1003","ADCP75"
"MeteorologicalSensor","R2RE/1015","Meteorological Sensor"
"Other","R2RE/1024","Other"
"Ship","R2RE/1027","Academic Research Vessel"
"Multibeam","R2RE/1029","Kongsberg (Simrad) EM 302 multibeam echosounder"
"XBT","R2RE/1031","XBT"
"Fluorometer","L22/TOOL0145","Unknown chlorophyll fluorometer"
"Echosounder12","R2RE/9038","12kHz echosounder"
"Echosounder3.5","R2RE/9039","3.5kHz echosounder"
