"EventTerm","DefaultActionTerms"
"ALL","deploy;recover;service;other;startSample;stopSample;maxDepth;abort;startLine;endLine;abortLine;start;end;faultGPS;faultGyro;startCruise;endCruise;startTransect;endTransect;startStation;endStation;startSafetydrill;endSafetydrill;maxextensionWire;maxspeedWire;release"
"ACM","deploy;recover;surveyedPosition;other"
"ADCP","deploy;recover;surveyedPosition;other"
"ADCP150","deploy;recover;surveyedPosition;other"
"ADCP300","deploy;recover;surveyedPosition;other"
"ADCP75","deploy;recover;surveyedPosition;other"
"ARGO","deploy;recover;abort;other"
"ARRA OBS","deploy;release;on surface;recover;other"
"Airgun Array","deploy;recover;startLine;endLine;service;other"
"Anemometer","start;end;abort;other"
"Ashtech","faultGPS;faultGyro"
"Barometer","start;end;abort;other"
"BiologyPump","startSample;stopSample"
"Box Corer","start; maxDepth;end;other"
"BucketSample","start;end;abort;other"
"CL-OBS","deploy;release;on surface;recover;other"
"CNAV GPS","faultGPS;faultGyro"
"CTD Winch","maxtensionWire;maxspeedWire"
"CTD","deploy;maxDepth;recover;abort;other"
"CTD911","deploy;maxDepth;recover;abort;other"
"Camera","pointSample"
"CenterBoard","start;end;abort;other"
"Data Acqsys","start;stop;service;other"
"Dissolved Oxygen Sensor","start;end;abort;other"
"Drifter","deploy;recover;abort;other"
"EK80 broadband","start;end;abort;other"
"EM-APEX","deploy;recover;abort;other"
"Echosounder12","startLine;endLine;abortLine"
"Echosounder3.5","startLine;endLine;abortLine"
"F185","startCalibration;endCalibration;other"
"FloatingSedTrap","deploy;recover;abort;other"
"Flowmeter","start;end;abort;other"
"Fluorometer","startLine;endLine;abortLine;sampleLine"
"GNSS","faultGPS;faultGyro"
"GO pCO2","start;end;abort;other"
"GPS","faultGPS;faultGyro"
"Glider","deploy;recover;abort;other"
"Gravimeter","start;end;abort;other"
"GravityCore","start; maxDepth;end;other"
"GreeneBomber","deploy;recover;abort;other"
"Gyrocompass","faultGPS;faultGyro"
