"DeviceID","DeviceTerm","DeviceDefActions","DeviceCategory","DefaultInstrumentTerm","DeviceDescription"
"R2RE/9045","2D Acoustic current meter","deploy;recover;surveyedPosition;other","current meter","ACM","Falmouth Scientific, Inc. 2-Dimensional Acoustic Current Meter"
"R2RE/9012","Acoustic Doppler Current Profiler ","start;stop;service;other","current profiler","ADCP","General term for an Acoustic Doppler Current Profiler or Aoustic Doppler Profiler that measures water current velocities across an entire water column"
"R2RE/1004","ADCP150","start;stop;service;other","current profiler","ADCP150","General term for an Acoustic Doppler Current Profiler or Aoustic Doppler Profiler operating at 150 kHz that measures water current velocities across an entire water column"
"L22/TOOL0363","Teledyne RDI Ocean Surveyor 150kHz vessel-mounted ADCP","start;stop;service;other","current profiler","ADCP150","The Teledyne RDI 150kHz Ocean Surveyor vessel-mounted acoustic Doppler current profiler. Designed for continuous current profiling from a moving ship"
"R2RE/1005","ADCP300","start;stop;service;other","current profiler","ADCP300","A Doppler velocity log (DVL) measuring bottom track and water track velocities, altitude, heading, tilt, temperature, echo intensity, pressure and current velocities with 300kHz Broadband signal processing"
"L22/TOOL0294","Teledyne RDI Workhorse Sentinel-600 ADCP","start;stop;service;other","current profiler","ADCP600","Teledyne RDI 600kHz Workhorse Sentinel vessel-mounted acoustic Doppler current profiler is designed for continuous current profiling from a moving ship."
"R2RE/1003","ADCP75","start;stop;service;other","current profiler","ADCP75","General term for an Acoustic Doppler Current Profiler or Aoustic Doppler Profiler that  measures water currents with sound (75kHz)."
"L22/TOOL0362","Teledyne RDI Ocean Surveyor 75kHz vessel-mounted ADCP","start;stop;service;other","current profiler","ADCP75","The Teledyne RDI 75kHz Ocean Surveyor vessel-mounted acoustic Doppler current profiler is designed for continuous current profiling from a moving ship."
"R2RE/9044","Air temperature sensor","start;stop;service;other","meteorological device","Air Temperature Sensor","Instrument to measure air temperature"
"L22/TOOL0551","High Volume Air Sampler","start;stop;abort;other","air pumps","Air_HOCs","An atmospheric sampler that pumps air through a series of filters and traps to collect samples for off-line analysis of aerosol and gas-phase constituents."
"L22/TOOL0357","Bolt Technology Corporation 1500-LL air gun","deploy;recover;startLine;endLine;service;other","seismic tool","Airgun Array","A towed chamber that rapidly releases a single bubble of highly compressed air on command to generate an acoustic shock wave plus sonic oscillations as the bubble collapses. The 1500-LL is designed for chamber volumes ranging from 40 to 1500 cubic inches and has a maximum operating pressure of 2000 psi. Multiple guns can be configured in a cluster to increase energy output."
"L22/TOOL0269","anemometer","start;stop;abort;other","meteorological device","Anemometer","Instrument to measure wind speed and direction"
"L22/TOOL0084","Sonic Gill R3A-100 Research sonic anemometer","start;stop;abort;other","meteorological device","Anemometer","Triaxial sonic anemometer with asymmetric head and a data output rate of 100Hz. The sensor head of the anemometer consists of three pairs of transducers orientated at different angles across the measurement region."
"R2RE/9046","ARGO float","deploy;recover;abort;other","drifter/float","ARGO","free-drifting profiling float that measures the temperature and salinity of the upper 2000 m of the ocean"
"L22/TOOL0390","Ashtech ADU2 Global Positioning System receiver","start;stop;fault;other","navigation device","Ashtech","3-Dimensional GPS Position and Attitude Determination Unit(2Hz)"
"L22/TOOL0389","Ashtech ADU5 Global Positioning System receiver","start;stop;fault;other","navigation device","Ashtech","3-Dimensional GPS Position and Attitude Determination Unit(5Hz)"
"L22/TOOL0388","Ashtech GG24 Global Positioning System and Global Navigation Satellite System receiver","start;stop;fault;other","navigation device","Ashtech","A receiver which utilizes both GPS and GLONASS satellite constellations for all-in-view positioning at a rate of up to 2 Hz (standard), or 5 Hz (optional)."
"L22/TOOL0391","Trimble 4000DL Global Positioning System receiver","start;stop;fault;other","navigation device","Ashtech","A differential GPS receiver used on research vessels during the 1990s and early 2000s. Cruise literature reports that this instrument used an 8-channel receiver. Maximum sampling rate is recorded as approximately 1 Hz."
"L22/TOOL0281","Barometer","start;stop;service;other","meteorological device","Barometer","A generic term for a device that measures atmospheric pressure. The term is for use where details of the make, model number and measurement principle are not known."
"R2RE/1002","Biology Pump","startSample;stopSample;other","pump system","biologyPump","Device that pumps seawater and collects matter, usually on a filter"
"R2RE/1061","Soular Box Corer","start;maxDepth;end;other","sediment corer","Box Corer","Ocean Instruments box corer developed by Andy Soutar"
"R2RE/1060","Bucket","start;end;abort;other ","hand sampler","BucketSample","Bucket used to sample sea surface water; deployed and recovered by hand"
"L05/311","cameras","pointSample;other","camera","Camera","A camera (could be a 35 mm type), most often used to photograph marine mammals or birds."
"R2RE/9095","Acoustic Centerboard","deploy;recover;service;other","acoustic tool","CenterBoard","an acoustic drop keel (Centerboard) is an extension of the hull that can be raised and lowered in the water in order to position the EK 60 spit beam array below the bubble sweep down of the hull and surface bubbles."
"R2RE/1063","Ocean Bottom Seismometer - Cascadia Lamont","deploy;recover;abort;other","seismometer","CL-OBS","Lamont OBS used for Cascadia Initiative"
"R2RE/9098","CNAV GPS","start;stop;other","navigation device","CNAV","CNAV Global Positioning Device"
"L22/TOOL0001","Conductivity, temperature and depth package","deploy;maxDepth;recover;abort;other","CTD profiler","CTD","Measures Conductivity, Temperature, and Depth in water."
"R2RE/9101","Winch - CTD Hydrographic","maxtensionWire;maxspeedWire;maxWireout;other","winch","winchCTD","CTD Hydrographic Winch with 322 EM cable"
"L22/TOOL0058","Sea-Bird SBE 911plus CTD","deploy;maxDepth;recover;abort;other","CTD profiler","CTD911","High precision and accuracy CTD comprising an SBE 9plus underwater unit (SBE 3 temperature and SBE 4 conductivity sensors) and an SBE 11plus deck unit."
"R2RE/9011","Data Acquisition System","start;stop;service;other","dataacq system","Data Acqsys","De/multiplexing and timetagging data acquisition system"
"R2RE/1064","Diaphram Pump","start;stop;service;other","water pump","DiaphramPump","Pumping of water on-board for incubation experiments"
"R2RE/9052","Drifter Buoy","deploy;recover;abort;other","drifter/float","Drifter","Satellite-tracked surface drifting buoy (drifter) consists of a surface buoy and a subsurface drogue (sea anchor), attached by a long, thin tether."
"R2RE/9038","12kHz echosounder","start;stop;abort;other","singlebeam","Echosounder12","12 kHz echosounder of unknown make/model"
"R2RE/9039","3.5kHz echosounder","start;stop;abort;other","singlebeam","Echosounder3.5","3.5 kHz echosounder of unknown make/model"
"R2RE/1065","EK80 broadband acoustic system","start;stop;abort;other","acoustic tool","EK80 broadband","Simrad echosounder that can operate seven echo sounder frequencies simultaneously ranging from 18 to 710 kHz."
"R2RE/9053","EM-APEX float","deploy;recover;abort;other","drifter/float","EM-APEX","A float that measures the ocean's velocity electromagnetically while monitoring water temperature and salinity, with ability to profile in depth. Also transfers the collected data, along with GPS plocation, over an Iridium satellite cell phone system to an onshore base station."
"R2RE/1066","EM302","start;stop;abort;other","multibeam","EM302","Kongsberg EM 302 multibeam echo sounder is designed to map almost all of the ocean floors excepting the deep trenches with an unsurpassed resolution and accuracy. It replaces the highly regarded EM 300 introduced in 1996, of which more than 20 systems are operational. It has the same transducer dimensions as in the EM 300, but with new electronics and software."
"R2RE/9091","Kongsberg EM EM710 multibeam echosounder","start;stop;abort;other","","EM710","Konsberg EM710 multibeam, scientist use the system to obtain detailed maps of the seafloor"
"R2RE/1067","Coda Octopus F185+ Motion Reference Unit","start;stop;fault;other","attitude sensor","F185","Coda Octopus F185+ Motion Reference Unit"
"R2RE/9070","Sediment Trap - Floating","deploy;recover;abort;other","sediment trap","FloatingSedTrap","Floating sediment traps designed as sampling devices deployed to float in the water column (as opposed to being secured to a mooring at a fixed depth) for periods of time to collect particles from the water column that are falling toward the sea floor."
"L05/388","flow meters","start;end;abort;other","flow meter","Flowmeter","Sensor that measures rate of water flow - can be mechanical, optical, electromagnetic, etc."
"L22/TOOL0145","Unknown chlorophyll fluorometer","start;stop;startLine;endLine;abortLine;sampleLine;other","fluorometer","Fluorometer","Instrument to measure fluorescence (usually for phytoplankton)"
"L22/TOOL0393","Turner 10-AU chlorophyll field fluorometer","start;stop;startLine;endLine;abortLine;sampleLine;other","fluorometer","Fluorometer","A field fluorometer designed for continuous-flow monitoring or discrete sample analyses of chlorophyll-a. It has a minimum detection limit of 0.025 ug/L extracted chlorophyll-a over the range  0-250 ug/L and can operate over a temperature range of 0-55 degC."
"R2RE/9076","underwater glider","deploy;recover;abort;other","underwater vehicle","Glider","A type of autonomous underwater vehicle (AUV) that uses small changes in its buoyancy in conjunction with wings to convert vertical motion to horizontal, and thereby propel itself forward with very low power consumption."
"R2RE/9019","GNSS","start;stop;fault;other","navigation device","GNSS","Global navigation satellite system of unkonwn type (could be GPS/WAAS, GLONASS, Galileo, etc.)"
"L22/TOOL0078","Global Positioning Satellite System","start;stop;fault;other","navigation device","GPS","A location system of unspecified make or model that determines location on the Earth's surface using the Global Positioning Satellite Network. "
"R2RE/9041","Bell Aerospace BGM-3 gravity meter","start;end;abort;other","gravimeter","Gravimeter","Instrument that makes measurements of the Earth's gravity field"
"L05/158","gravimeters","start;end;abort;other","gravimeter","Gravimeter","Instrument to measure the Earth's local gravitational field"
"R2RE/9055","Gravity corer","start;maxDepth;end;other","sediment corer","GravityCore","Allows researchers to sample sediment layers at the bottom of lakes or oceans. The coring device is deployed from the ship and gravity carries it to the seafloor."
"R2RE/1009","GreeneBomber","deploy;recover;abort;other","custom device","GreeneBomber","A towed, dual-beam acoustic system operating at 120 and 420 kHz or 1 MHz that provides continuous profiles of the water column for zooplankton with a size range of 1.5 mm to 100 mm. In addition to acoustic data, the Greene Bomber can collect temperature, salinity, and fluorescence."
"L22/TOOL0079","Gyrocompass","start;stop;fault;other","navigation device","Gyrocompass","A compass of unspecified make or model number that finds true north by using a fast-spinning wheel and friction forces to sense the rotation of the Earth."
"R2RE/1011","HammarHead","deploy;recover;abort;other","custom device","HammarHead","Custom instrument developed at WHOI that measures acoustic backscatter (owned by Andone Lavery)"
"R2RE/1013","Handline","start;end;other","hand sampler","Handline","Used to make discharge measurements or to collect water quality or sediment samples where it is inconvenient to use a sounding reel or a crane."
"L05/GIAG","GI-gun","deploy;recover;startLine;endLine;service;other","seismic tool","HiRes Survey","GI air guns and a seismic streamer to look for fault and other disturbances"
"R2RE/9042","humidometer","start;stop;service;other","meteorological device","Humidometer","A type of barometer of warm humidity - a specialized instrument used for measuring ambient temperature and relative humidity."
"R2RE/9096","Soundguard Hydrophone Array","start;end;abort;other","hydrophone array","Hydrophone","Towed hydrophone array"
"L22/TOOL0304","IXSEA Photonic Inertial Navigation System","start;stop;fault;other","MRU","InertialNavSys","PHINS, or PHotonic Inertial Navigation System (INS) that outputs position, heading, pitch, roll, heave, depth and velocity. The PHINS uses a high accuracy inertial measurement unit and produces positional data with an accuracy ranging from metres to cm, depending on the specific instrumentation setup. INS drift performance is known to be inadequate without a velocity input from an ADCP."
"R2RE/9106","ISP Sediment Trap","deploy;recover;abort;other","sediment trap","ISP","A sediment trap with an in-situ pump"
"R2RE/9081","J15-3","start;end;abort;other","acoustic tool","J15-3 Sound Source","A transducer for low-audio and infrasonic frequencies, for extra depth, and with a capability of transmitting three different signals simultaneously."
"R2RE/9066","ROV Jason","deploy;recover;abort;other","underwater vehicle","Jason","Remotely Operated Vehicle (ROV) Jason operated by the Deep Submergence Laboratory (DSL) at Woods Hole Oceanographic Institution (WHOI)."
"R2RE/9056","Lagrangian Float","deploy;recover;abort;other","drifter/float","LagrangianFloat","Built at the University of Washington Applied Physics Laboratory, the Lagrangian Float is not an ARGO float. It is primarily designed to accurately follow the three-dimensional motion of water parcels within the mixed layer, through a combination of neutral buoyancy and high drag provided by a one meter diameter black drogue."
"R2RE/9057","McLane Large Volume Pumping System","startSample;stopSample;other","pump system","LargeVolumePump","The Large Volume Pumping System-WTS-LV can be one of several different models of Water Transfer Systems (WTS) Large Volume (LV) pumping systems designed and manufactured by McLane Research Labs (Falmouth, MA, USA). "
"R2RE/1072","Ocean Bottom Seismometer - LDEO Trawl Resistant Mount","deploy;recover;abort;other","seismometer","LDEO TRM OBS","LDEO trawl resistant mount ocean bottom seismometer"
"R2RE/9097","LDS Logger","start;stop;other","dataacq system","LDS logger","LDS is the LDEO Data System. It is an architecture and collection of software for the automated logging of real-time data sources"
"R2RE/1073","Geometrics G-882","deploy;recover;abort;other","magnetometer","Magnetometer","compact cesium-vapor marine magnetometer"
"L05/159","magnetometers","start;end;abort;other","magnetometer","Magnetometer","Instrument to measure strength and/or direction of the Earth's magnetic field"
"R2RE/1014","Mast Camera","start;end;other","camera","mastCamera","Camera installed on a ships mast."
