bcodmoid,name,shortname,definition,date
BCODMO/404,AC 9,,"""The WET Labs AC-9 is a type of in-situ spectrophotometer that simultaneously determines the spectral transmittance and spectral absorption of water over nine wavelengths. The unit offers compact size, high precision, and excellent stability in providing a method for determining the absorption (a(l)) and beam attenuation (c(l)) coefficients. The AC-9 employs a 25-cm pathlength for effective measurement of the cleanest natural waters. The unit is also available in a 10-cm pathlength configuration."" (<a href=""http://www.wetlabs.com/products/ac/acall.htm"">more from WET Labs</a>)",2/4/14
BCODMO/405,Acoustic Doppler Current Profiler,,"The ADCP measures water currents with sound, using a principle of sound waves called the Doppler effect. A sound wave has a higher frequency, or pitch, when it moves to you than when it moves away. You hear the Doppler effect in action when a car speeds past with a characteristic building of sound that fades when the car passes.<br />The ADCP works by transmitting ""pings"" of sound at a constant frequency into the water. (The pings are so highly pitched that humans and even dolphins can't hear them.) As the sound waves travel, they ricochet off particles suspended in the moving water, and reflect back to the instrument. Due to the Doppler effect, sound waves bounced back from a particle moving away from the profiler have a slightly lowered frequency when they return. Particles moving toward the instrument send back higher frequency waves. The difference in frequency between the waves the profiler sends out and the waves it receives is called the Doppler shift. The instrument uses this shift to calculate how fast the particle and the water around it are moving.<br />Sound waves that hit particles far from the profiler take longer to come back than waves that strike close by. By measuring the time it takes for the waves to bounce back and the Doppler shift, the profiler can measure current speed at many different depths with each series of pings. (<a href=""http://www.whoi.edu/instruments/viewInstrument.do?id=819"" target=""_blank"">More from WHOI instruments listing</a>).",2/4/14
BCODMO/406,Acoustic Doppler Current Profiler bio,,Acoustic Doppler Current Profiler used to scan for plankton concentrations.,2/4/14
BCODMO/407,Automated Weather Station,,"Land-based AWS systems are designed to record meteorological information, for example the installations in the vicinity of Kirkland and Dismal Island off the Western Antarctic Peninsula.",2/4/14
BCODMO/408,"Binoculars, Big Eye",,Big eye binoculars generally used for mammal observations. 25x optical.,2/4/14
BCODMO/409,BIo-Optical Multi-frequency Acoustical and Physical Environmental Recorder II,,"BIOMAPER II is a set of sensors on a long aluminum frame that resembles the tail of a World War II airplane. A research vessel tows the instrument through the water on a specialized tow cable that sends power to the sensors and brings data back to the ship. People use BIOMAPER II to learn about phytoplankton and zooplankton over areas that are too large to study with the traditional net-and-microscope method. Whereas nets can sample areas up to about 5 meters (16 feet) on a side, BIOMAPER II can record data from 500 meters (1,640 feet) or more of the water column at a time. The instrument's standard suite of sensors were chosen for studying plankton: a five-frequency sonar system, a video plankton recorder and an environmental sensor system (ESS, like the one on MOCNESS). The ESS measures water temperature, salinity, oxygen, chlorophyll and light levels. BIOMAPER II also has room for attaching other instruments for specific uses. The instrument's official name is BIOMAPER-II: the BIo-Optical Multi-frequency Acoustical and Physical Environmental Recorder. The Roman numeral II indicates that it's a redesign of the original BIOMAPER, a prototype that was invented and tested in the mid 1990s. (<a href=""http://www.whoi.edu/instruments/viewInstrument.do?id=12014"">more information</a>).",2/4/14
BCODMO/410,Bongo Net,,"A Bongo Net consists of paired plankton nets, typically with a 60 cm diameter mouth opening and varying mesh sizes, 10 to 1000 micron.  The Bongo Frame was designed by the National Marine Fisheries Service for use in the MARMAP program. It consists of two cylindrical collars connected with a yoke so that replicate samples are collected at the same time.  Variations in models are designed for either vertical hauls (OI-2500 = NMFS Pairovet-Style, MARMAP Bongo, CalVET) or both oblique and vertical hauls (Aquatic Research).  The OI-1200 has an opening and closing mechanism that allows discrete ""known-depth"" sampling. This model is large enough to filter water at the rate of 47.5 m3/minute when towing at a speed of two knots. More information: <a href=""http://www.oceaninstruments.com/products/net_systems/bongo.html"">Ocean Instruments</a>,<br /><a href=""http://www.aquaticresearch.com/bongo_nets.htm"">Aquatic Research</a>,<br /><a href=""http://www.sea-gear.net/bongo-frames.html"">Sea-Gear</a>",2/4/14
BCODMO/411,GO-FLO Bottle,,"GO-FLO bottle cast used to collect water samples for pigment, nutrient, plankton, etc. The GO-FLO sampling bottle is specially designed to avoid sample contamination at the surface, internal spring contamination, loss of sample on deck (internal seals), and exchange of water from different depths. ",2/4/14
BCODMO/412,Kemmerer Bottle,,"Kemmerer Sample Bottles are used for collecting water and plankton at specified depths. Kemmerer bottle samplers are made from a variety of materials (stainless steel, acrylic, PVC or Teflon). The bottle type is chosen by researchers based on the research focus and sampling requirements of the field program. Lightweight, relatively small Kemmerer bottles are convenient for near surface water sampling. </p><p>The U.S. GLOBEC Georges's Bank project used Kemmerer (Kimmerer) bottles to sample nutrients in the surface (2m) waters.",2/4/14
BCODMO/413,Niskin bottle,,"A Niskin bottle (a next generation water sampler based on the Nansen bottle) is a cylindrical, non-metallic water collection device with stoppers at both ends.  The bottles can be attached individually on a hydrowire or deployed in 12, 24 or 36 bottle Rosette systems mounted on a frame and combined with a CTD.  Niskin bottles are used to collect discrete water samples for a range of measurements including pigments, nutrients, plankton, etc.",2/4/14
